Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
ARM-China,,,,,Win11\ARM-China.csv,,ARM,,AB2,,,
ARM-WW,,,,,Win11\ARM-WW.csv,,ARM,,,,,
OMEN-WM,,,,,Win11\OMEN-WM.csv,,OMEN,,,3,,
OMEN-China,,,,,Win11\OMEN-China.csv,,OMEN,,AB2,,,
OMEN-WW,,,,,Win11\OMEN-WW.csv,,OMEN,,,,,
Tablet-Edianzu,,,,,Win11\Tablet-Edianzu.csv,,DetTablet,,,30,,
Tablet-BBY,,,,,Win11\Tablet-BBY.csv,,DetTablet,,,2;22,,
Tablet-DIX-ELKJOP,,,,,Win11\Tablet-DIX-ELKJOP.csv,,DetTablet,,,27;28,,
Tablet-China,,,,,Win11\Tablet-China.csv,,DetTablet,,AB2,,,
Tablet-WW,,,,,Win11\Tablet-WW.csv,,DetTablet,,,,,
EDU-WW,,,,,Win11\EDU-WW.csv,,EDU,,,,,
Edianzu,,,,,Win11\Edianzu.csv,,,,,30,,
Spectre-Envy-BBY,,,,,Win11\Spectre-Envy-BBY.csv,,Premium;EnvyAIO;ENVY,,,2;22,,
Spectre-Envy-BBYBL,,,,,Win11\Spectre-Envy-BBYBL.csv,,Premium;EnvyAIO;ENVY,,,26,,
Spectre-Envy-SAM-WM,,,,,Win11\Spectre-Envy-SAM-WM.csv,,Premium;EnvyAIO;ENVY,,,03;21,,
Spectre-Envy-Costco,,,,,Win11\Spectre-Envy-Costco.csv,,Premium;EnvyAIO;ENVY,,,14,,
Spectre-Envy-DIX-ELKJOP,,,,,Win11\Spectre-Envy-DIX-ELKJOP.csv,,Premium;EnvyAIO;ENVY,,,27;28,,
SpectreNB-EnvyAIO-China,,,,,Win11\SpectreNB-EnvyAIO-China.csv,,Premium;EnvyAIO,,AB2,,,
SpectreNB-EnvyAIO-LATAM,,,,,Win11\SpectreNB-EnvyAIO-LATAM.csv,,Premium;EnvyAIO,LA,,,,
SpectreNB-EnvyAIO-WW,,,,,Win11\SpectreNB-EnvyAIO-WW.csv,,Premium;EnvyAIO,,,,,
Envy-NA,,,,,Win11\Envy-NA.csv,,ENVY,NA,,,,
Envy-LATAM,,,,,Win11\Envy-LATAM.csv,,ENVY,LA,,,,
Envy-China,,,,,Win11\Envy-China.csv,,ENVY,,AB2,,,
Envy-APJ-EMEA,,,,,Win11\Envy-APJ-EMEA.csv,,ENVY,APJ;EMEA,,,,
Workstation-China,,,,,Win11\Workstation-China.csv,,WKS,,AB2,,,
Workstation-WW,,,,,Win11\Workstation-WW.csv,,WKS,,,,,
OPP-Pavilion-Costco ,,,,,Win11\OPP-Pavilion-Costco.csv,,OPP;Pavilion;VICTUS,,,14,,
OPP-Pavilion-BBY,,,,,Win11\OPP-Pavilion-BBY.csv,,OPP;Pavilion;VICTUS,,,2;22,,
OPP-Pavilion-BBYBL,,,,,Win11\OPP-Pavilion-BBYBL.csv,,OPP;Pavilion;VICTUS,,,26,,
OPP-Pavilion-DIX-ELKJOP,,,,,Win11\OPP-Pavilion-DIX-ELKJOP.csv,,OPP;Pavilion;VICTUS,,,27;28,,
OPP-Pavilion-SAM-WM,,,,,Win11\OPP-Pavilion-SAM-WM.csv,,OPP;Pavilion;VICTUS,,,03;21,,
OPP-Pavilion-China,,,,,Win11\OPP-Pavilion-China.csv,,OPP;Pavilion;VICTUS,,AB2,,,
OPP-Pavilion-APJ-EMEA,,,,,Win11\OPP-Pavilion-APJ-EMEA.csv,,OPP;Pavilion;VICTUS,APJ;EMEA,,,,
OPP-Pavilion-LATAM,,,,,Win11\OPP-Pavilion-LATAM.csv,,OPP;Pavilion;VICTUS,LA,,,,
OPP-Pavilion-NA,,,,,Win11\OPP-Pavilion-NA.csv,,OPP;Pavilion;VICTUS,NA,,,,
SBSO-Americas,,,,,Win11\SBSO-Americas.csv,,SBSO,NA;LA,,,,
SBSO-China,,,,,Win11\SBSO-China.csv,,SBSO,,AB2,,,
SBSO-APJ-EMEA,,,,,Win11\SBSO-APJ-EMEA.csv,,SBSO,APJ;EMEA,,,,
