Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
HP Palette,1,2x2,ALL,AppID,AD2F1837.HPPalette_v10z8vjag6ke6!App,,,,,,,
OMEN Command Center,2,2x2,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,,,,,,
myHP,3,2x2,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
WPS Office,4,2x2,ALL,DtAppID,Kingsoft.Office.KPrometheus,,,,,,,
iQiYi,5,2x2,ALL,DtAppID,Microsoft.AutoGenerated.{91BB95F7-FE3F-69E0-6667-AD950E156176},,,,,,,
McAfee,6,2x2,ALL,AppID,5A894077.McAfeeSecurity_wafk5atnkzcwy!App,,,,,,,
Xiaowei,7,2x2,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,,
Walmart Shopping,8,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Walmart.lnk,,,,,3,,
QuickDrop,51,1x1,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,,,,,,
HPCC,52,1x1,ALL,AppID,AD2F1837.HPThermalControl_v10z8vjag6ke6!App,,,,,,,
HP Enhanced Lighting,53,1x1,ALL,AppID,AD2F1837.HPEnhance_v10z8vjag6ke6!AD2F1837.HPEnhance,,,,,,,
Xiaowei,101,Taskbar,ALL,AppID,AD2F1837.19285F10D180_v10z8vjag6ke6!App,,,,,,,
HP e-Service,102,Taskbar,ALL,AppID,7BA12A16.19890A05072F2_xbmnhry04hpba!App,,,,,,,
myHP,999,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,VICTUS,,,,,
myHP,103,Taskbar,ALL,AppID,AD2F1837.myHP_v10z8vjag6ke6!App,,,,,,,
OMEN Command Center,103,Taskbar,ALL,AppID,AD2F1837.OMENCommandCenter_v10z8vjag6ke6!AD2F1837.OMENCommandCenter,,VICTUS,,,,,
