Name,Order,Size,Region,AppType,Value,ChasisType,BrandName,RegionCode,SKUOptionConfig,ChannelID,FeatureBytes,UID
Simple Solitaire,1,2x2,ALL,AppID,26720RandomSaladGamesLLC.3899848563C1F_kx24dqmazqk8j!App,,,,,,,
Agoda.com,2,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Agoda.lnk,,,,AKL;AR6;ACJ;UUF;AB0;AB5;AB2;B1L;AB1;AB4;ABJ;ACF;A2K;ARE,,,
Booking.com,999,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Booking.com.lnk,,,,AB6;BH4;BH5;AKL;AR6;ACJ;UUF;AB0;AB5;AB2;B1L;AB1;AB4;ABJ;ACF;A2K;ARE,,,
Booking.com,2,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Booking.com.lnk,,,,,,,
QuickDrop,3,2x2,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,,,,,,
IntelMDE,3,2x2,ALL,AppID,AppUp.IntelTechnologyMDE_8j3eq9eme6ctt!App,,,,,,,
Walmart Shopping,4,2x2,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Walmart.lnk,,,,,3,,
QuickDrop,101,Taskbar,ALL,AppID,AD2F1837.HPQuickDrop_v10z8vjag6ke6!App,,,,,,,
IntelMDE,101,Taskbar,ALL,AppID,AppUp.IntelTechnologyMDE_8j3eq9eme6ctt!App,,,,,,,
Amazon.com,102,Taskbar,ALL,DtAppLinkPath,C:\ProgramData\Microsoft\Windows\Start Menu\Programs\Amazon.com.lnk,,,,,,,
Amazon.com,1,EdgeFav,ALL,Link,http://www.amazon.com/gp/ubp/oneButton/config/redirectHome?tagbase=hpbk-ubpl&ref=aagateway-edgebook-hp,,,,,,,
Agoda.com,2,EdgeFav,ALL,Link,https://js.redirect.hp.com/jumpstation?bd=agoda&c=232&locale=*&pf=*&tp=edge&TYPE=3,,,,AKL;AR6;ACJ;UUF;AB0;AB5;AB2;B1L;AB1;AB4;ABJ;ACF;A2K;ARE,,,
Booking.com,999,EdgeFav,ALL,Link,https://js.redirect.hp.com/jumpstation?bd=booking&c=232&locale=*&pf=*&tp=edge&TYPE=3,,,,AB6;BH4;BH5;AKL;AR6;ACJ;UUF;AB0;AB5;AB2;B1L;AB1;AB4;ABJ;ACF;A2K;ARE,,,
Booking.com,2,EdgeFav,ALL,Link,https://js.redirect.hp.com/jumpstation?bd=booking&c=232&locale=*&pf=*&tp=edge&TYPE=3,,,,,,,
